"name.common.worktable"|"spec"|"Exploited"|"general.taxonomic.group"|"Specific.taxonomic.group"|"habitat.horizontal"|"habitat.vertical"|"habitat.specific"|"depth"|"temperature"|"diet"|"mat.age.yr"|"mat.len.cm"|"size.max.len.cm"|"size.max.mass.kg"|"age.max.yr"|"fecundity.eggs.per.female"|"observations.of.interest"|"Needs.more.work"|"Notes"|"end"
"Pencil cardinal"|677||"fish"|"deepwater cardinalfishes"||||||||||||||||"XXXXX"
"Epigonus Occidentalis"|582||"fish"|"deepwater cardinalfishes"||||||||||||||||"XXXXX"
"Epigonus Pandionis"|587||"fish"|"deepwater cardinalfishes"||||||||||||||||"XXXXX"
"Epigonus Telescopus"|888||"fish"|"deepwater cardinalfishes"||||||||||||||||"XXXXX"
"Epigonus"|878||"fish"|"deepwater cardinalfishes"||||||||||||||||"XXXXX"
"Diplospinus Multistriatus, Striped Escolar"|359||"fish"|"snake mackerals"|"oceanic"|"bathypelagic"|"pelagic:diurnal vertical migrations"|"50;1000"||"crustaceans;small fish"|||33|||||||"XXXXX"
"Snake Mackerel"|927||"fish"|"snake mackerals"|"oceanic"|"bathypelagic"|"pelagic:diurnal vertical migrations"|"0;600"||"piscivore:fishes;cephalopods;crustaceans"|||100||||"Larvae and juveniles stay near the surface all day"|||"XXXXX"
"Escolar"|27||"fish"|"snake mackerals"|"slope"|"bathypelagic"|"pelagic:diurnal vertical migrations"|"200;885"||"planktivore/piscivore:squid;crustaceans; a wide variety of fishes"|||200|45||||||"XXXXX"
"Nealotus Tripes, Black Snake Mackerel"|28||"fish"|"snake mackerals"|"oceanic"|"bathypelagic"|"pelagic:diurnal vertical migrations"|"0;820"||"planktivore/piscivore:myctophids;small fishes;squid;crustaceans "|||25||||"Migrates to the surface at night"|||"XXXXX"
"Neoepinnula Orientalis, Sackfish"|563||"fish"|"snake mackerals"||"benthopelagic"||"200;570"||"piscivore:small fishes;crustaceans;cephalopods "|||30|||||||"XXXXX"
"Longnose Escolar, Black gemfish"|877||"fish"|"snake mackerals"|"slope"|"pelagic"|"pelagic:diurnal vertical migrations"|"200;1200"||"piscivore:squid;fish;crustaceans"|||130|||||||"XXXXX"
"Oilfish"|29||"fish"|"snake mackerals"|"shelf;oceanic"|"benthopelagic"||"100;800"|"subtropical"|"zooplanktivore/piscivore:fish;crustaceans;squid "|||200|63.5||||||"XXXXX"
"Snake Mackerels"|296||"fish"|"snake mackerals"||||||||||||||||"XXXXX"
"Mojarra"|420||"fish"|"mojarras"||||||||||||||||"XXXXX"
"Gobies"|804||"fish"|||||||||||||||||"XXXXX"
"Pigfish"|266||"fish"|"grunts"|"inshore"|"demersal"|"sand;mud"|"10;?"|"temperate"|"crustaceans;smaller fish"|||46|0.9|4||"Local nocturnal foraging migrations.  Non burrowing."|||"XXXXX"
"Howella brodiei"|750||"fish"|||||||||||||||||"XXXXX"
"Howella sherborni"|783||"fish"||"shelf edge"|||"450;490"||||||||||||"XXXXX"
"Indo-Pacific Sailfish"|255||"fish"|||||||||||||||||"XXXXX"
"White Marlin"|32|"yes"|"fish"|"Pelagic"||"pelagic"|||||||180.7|825||||||"XXXXX"
"Black Marlin"|835|"not likely"|"fish"|"Pelagic"|"inshore"|||"0;915 (rarely below 30)"|"15;30"|"small tuna;dolphinfish;squid;cuttlefishes;octopods;mackerels;trevallies;swordfish;large decapod crustaceans "||||||40,000,000|"Not typically in the Atlantic. Only marlin with non retractible fins"|1||"XXXXX"
"Blue Marlin"|33|"yes"|"fish"|"Pelagic"|"oceanic"|"pelagic"||||"octopi;squid;pelagic fishes"|||581.5|900||||||"XXXXX"
"Longbill Spearfish"|840||"fish"|||||||||||||||||"XXXXX"
"Bermuda Chub"|106|"no"|"fish"|"Sea chub"|"shelf"||||||||||||"Usual range as far north as Mass."|||"XXXXX"
"Hemipteronotus, Razorfish"|371||"fish"|"Rainbowfishes"|||||||||||||"Synonyms: Xyrichtys"|||"XXXXX"
"Tautog"|53|"no"|"fish"|"Rainbowfishes"|"inshore"||"hard bottom. Occasionally brackish."|"1;75"|"subtropical;10+"|"benthivore:mussels;gastropods;molluscs;crustaceans"|||91|11.3|34||"Adult male territorial;active (feeds) during day."|||"XXXXX"
"Cunner"|122|"no"|"fish"|"Rainbowfishes"|"inshore"|"pelagic"|"rock;around pilings;seawalls;wharves"|"shallow"||"omnivore:molluscs;crustaceans;barnacles;urchins;marine worms;sea squirts;fish eggs;eelgrass"|||43|1.4|6||"In winter, cunners become inactive and don't eat."|||"XXXXX"
"Thalassoma Bifasciatum"|372||"fish"|"Rainbowfishes"||||||||||||||||"XXXXX"
"Wrasses"|36||"fish"|"Rainbowfishes"||||||||||||||||"XXXXX"
"Shanny"|645||"fish"|||||||||||||||||"XXXXX"
"Lutjanus"|98||"fish"|||||||||||||||||"XXXXX"
"Pristipomoides Aquilonaris, Wenchman"|497||"fish"|||"demersal"||"24;370"|"subtropical"|"piscivore"|||56|1.99||||||"XXXXX"
"Caulolatilus"|289||"fish"|"Tilefishes"||||||||||||||||"XXXXX"
"Tile Fish, Tilefish"|25|"no"|"fish"|"Tilefishes"|"shelf;slope"|"demersal"|"clay;sand;mud"|"81;540"|"8;17"|"crustaceans;squid;marine worms;sea cucumbers;urchins;fish"|"5;7"|"60(males);50(females)"|120|30|35|"4,000,000;16,000,000"|"Burrow into verticle burrows head down"|||"XXXXX"
"Microdesmidae"|855||"fish"|||||||||||||||||"XXXXX"
"White Perch"|120|"yes"|"fish"|"Temperate basses"|"inshore;anadramous"|"demersal"|"freshwater;primarily brackish;mud"||"up to 26.7"|"piscivore:smelt;yellow perch;killifsh;white perch "|||48.3|2.72|17|"21,000;247700"|"Fished recreationally. Young eat mostly plankton."|||"XXXXX"
"Striped Bass"|24|"yes"|"fish"|"Temperate basses"|"inshore;anadramous"|"demersal"|"bays;rivers;some landlocked"|"30;?"|"8;25"|"piscivore/?:herring;gaspereau;crustaceans "|"2(males);6(females)"|"29.7(males);71.1(females)"|200|56.5|30|"100,000;1,000,000"|"Most weigh less than 13kg. Not fished commercially in NS. Just recreationally."|||"XXXXX"
"Red Goatfish"|105||"fish"|"Red mullets"|"inshore;shelf"|"demersal"|"sand;mud;neritic"|"9;91"|"subtropical"||||27|0.291||||||"XXXXX"
"Cape Fathead"|534||"fish"||"oceanic"|"pelagic"|"pelagic:diurnal vertical migrations. Occurs at surface at night. Daytime, unknown"|"0;60"||"salps"|||100|||||||"XXXXX"
"Driftfish"|532||"fish"||"oceanic"|"pelagic"|||"warm;temperate"|"salps"|||107|||||||"XXXXX"
